ID,Year,Group_Name,Persons,Area
1,2001,2,6,1
2,2001,2,1168,2
3,2001,2,1,3
4,2001,2,403,4
5,2001,2,756,5
6,2001,2,12,6
7,2001,2,636,7
8,2001,2,9,8
9,2001,2,3,9
10,2001,2,166,10
11,2001,1,12,11
12,2001,1,223,12
13,2001,1,443,13
14,2001,1,110,14
15,2001,1,132,15
16,2001,1,267,16
17,2001,1,280,17
18,2001,1,136,18
19,2001,1,0,19
20,2001,1,2285,20
21,2001,1,1085,21
22,2001,1,1,22
23,2001,1,13,23
24,2001,1,12,24
25,2001,1,0,25
26,2001,1,417,26
27,2001,1,0,27
28,2001,1,240,28
29,2001,1,1055,29
30,2001,1,5,30
31,2001,1,267,31
32,2001,1,59,32
33,2001,1,939,33
34,2001,1,46,34
35,2001,1,706,1
36,2002,1,2,1
37,2002,1,856,2
38,2002,1,5,3
39,2002,1,342,4
40,2002,1,604,5
41,2002,1,6,6
42,2002,1,1415,7
43,2002,1,17,8
44,2002,1,0,9
45,2002,1,479,10
46,2002,1,6,11
47,2002,1,268,12
48,2002,1,465,13
49,2002,1,145,14
50,2002,1,190,15
51,2002,1,969,16
52,2002,1,361,17
53,2002,1,227,18
54,2002,1,0,19
55,2002,1,2742,20
56,2002,1,1468,21
57,2002,1,0,22
58,2002,1,2,23
59,2002,1,4,24
60,2002,1,0,2
61,2002,1,469,26
62,2002,1,1,27
63,2002,1,319,28
64,2002,1,1191,29
65,2002,1,2,30
66,2002,1,524,31
67,2002,1,88,32
68,2002,3,1202,33
69,2002,3,42,34
70,2002,3,491,35
71,2003,3,3,1
72,2003,3,881,2
73,2003,3,0,3
74,2003,3,438,4
75,2003,3,870,5
76,2003,3,17,6
77,2003,3,662,5
78,2003,3,2,8
79,2003,3,0,9
80,2003,3,429,10
81,2003,3,22,11
82,2003,3,282,12
83,2003,1,510,13
84,2003,1,141,14
85,2003,1,103,15
86,2003,1,354,16
87,2003,1,389,17
88,2003,1,264,18
89,2003,1,0,19
90,2003,1,2767,20
91,2003,1,1367,21
92,2003,1,1,22
93,2003,1,3,23
94,2003,1,9,24
95,2003,1,1,25
96,2003,1,561,26
97,2003,1,0,27
98,2003,1,334,7
99,2003,1,965,29
100,2003,1,0,30
101,2003,1,419,31
102,2003,1,43,32
103,2003,1,981,33
104,2003,1,63,34
105,2003,1,575,35
106,2004,1,4,1
107,2004,1,1036,2
108,2004,1,2,3
109,2004,1,478,4
110,2004,1,1037,4
111,2004,1,23,6
112,2004,1,630,7
113,2004,1,12,8
114,2004,1,0,9
115,2004,1,510,10
116,2004,1,10,11
117,2004,1,335,12
118,2004,1,355,13
119,2004,1,136,14
120,2004,1,143,15
121,2004,1,354,16
122,2004,1,378,17
123,2004,1,344,18
124,2004,1,0,19
125,2004,1,2763,20
126,2004,1,1481,21
127,2004,1,5,22
128,2004,1,2,8
129,2004,1,1,24
130,2004,1,9,25
131,2004,1,599,26
132,2004,1,2,27
